EXPERIMENT,BCAST_TYPE,NPROC,PACKET_SIZE,N_PACKETS,N_BOUNCES,TYPE,NODE,PROCESS,SRC,DST,TAG,COM_TIME,RUNNING_TIME
1, 0, 4, 1,,,S, lab004-074, 0,,,, 0.0000200272,
1, 0, 4, 1,,,R, lab004-074, 2,,,, 0.0000181198,
1, 0, 4, 1,,,R, lab004-074, 3,,,, 0.0101609230,
1, 0, 4, 1,,,R, lab004-074, 1,,,, 0.0053770542,
2, 0, 4, 1,,,S, lab004-074, 0,,,, 0.0000219345,
2, 0, 4, 1,,,R, lab004-074, 2,,,, 0.0001950264,
2, 0, 4, 1,,,R, lab004-074, 1,,,, 0.0000150204,
2, 0, 4, 1,,,R, lab004-074, 3,,,, 0.0000150204,
3, 0, 4, 1,,,S, lab004-074, 0,,,, 0.0000221729,
3, 0, 4, 1,,,R, lab004-074, 1,,,, 0.0002331734,
3, 0, 4, 1,,,R, lab004-074, 3,,,, 0.0003311634,
3, 0, 4, 1,,,R, lab004-074, 2,,,, 0.0000150204,
4, 0, 4, 1,,,S, lab004-074, 0,,,, 0.0000209808,
4, 0, 4, 1,,,R, lab004-074, 1,,,, 0.0000190735,
4, 0, 4, 1,,,R, lab004-074, 2,,,, 0.0000159740,
4, 0, 4, 1,,,R, lab004-074, 3,,,, 0.0000140667,
5, 0, 4, 1,,,S, lab004-074, 0,,,, 0.0000200272,
5, 0, 4, 1,,,R, lab004-074, 2,,,, 0.0100719929,
5, 0, 4, 1,,,R, lab004-074, 1,,,, 0.0050978661,
5, 0, 4, 1,,,R, lab004-074, 3,,,, 0.0152440071,
6, 0, 4, 1,,,S, lab004-074, 0,,,, 0.0000190735,
6, 0, 4, 1,,,R, lab004-074, 2,,,, 0.0000181198,
6, 0, 4, 1,,,R, lab004-074, 1,,,, 0.0000140667,
6, 0, 4, 1,,,R, lab004-074, 3,,,, 0.0057098866,
7, 0, 4, 1,,,S, lab004-074, 0,,,, 0.0000197887,
7, 0, 4, 1,,,R, lab004-074, 3,,,, 0.0000181198,
